City,Administrative Division,Country,Full,Map
Portland,Oregon,United States,"Portland, Oregon, United States",https://en.wikipedia.org/wiki/File:Oregon_in_United_States.svg
Porto Alegre,Rio Grande do Sul,Brazil,"Porto Alegre, Rio Grande do Sul, Brazil",https://en.wikipedia.org/wiki/File:Rio_Grande_do_Sul_in_Brazil.svg
Porto Velho,Rondonia,Brazil,"Porto Velho, Rondonia, Brazil",https://en.wikipedia.org/wiki/File:Rondonia_in_Brazil.svg
Porto-Novo,,,Porto-Novo,
Potosi,Bolivia,,"Potosi, Bolivia",https://en.wikipedia.org/wiki/File:Potosi_in_Bolivia.svg
Prague,,,Prague,
Primorsky,Russia,,"Primorsky, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Primorsky_Krai.svg
Pucallpa,Ucayali,Peru,"Pucallpa, Ucayali, Peru",https://en.wikipedia.org/wiki/File:Peru_-_Ucayali_Department_(locator_map).svg
Puerto Ayacucho,Amazonas,Venezuela,"Puerto Ayacucho, Amazonas, Venezuela",https://en.wikipedia.org/wiki/File:Amazonas_in_Venezuela.svg
Puerto Carreno,Vichada,Colombia,"Puerto Carreno, Vichada, Colombia",https://en.wikipedia.org/wiki/File:Vichada_in_Colombia.svg
Puerto Maldonado,Madre de Dios,Peru,"Puerto Maldonado, Madre de Dios, Peru",https://en.wikipedia.org/wiki/File:Peru_-_Madre_de_Dios_Department_(locator_map).svg
Puerto Rico,,,Puerto Rico,
Punja,Pakistan,,"Punja, Pakistan",https://en.wikipedia.org/wiki/File:Punjab_in_Pakistan_(claims_hatched).svg
Punta Arenas,Magallanes,Chile,"Punta Arenas, Magallanes, Chile",https://en.wikipedia.org/wiki/File:Magallanes_and_Antartica_Chilena_in_Chile_2018.svg
Puntland,Somalia,,"Puntland, Somalia",https://en.wikipedia.org/wiki/File:Puntland_State_of_Somalia.svg
Pyongyang,,,Pyongyang,
Qatar,,,Qatar,
Qingdao,Shandong,China,"Qingdao, Shandong, China",https://en.wikipedia.org/wiki/File:Shandong_in_China_(%2Ball_claims_hatched).svg
Qinghai,China,,"Qinghai, China",https://en.wikipedia.org/wiki/File:Qinghai_in_China_(%2Ball_claims_hatched).svg
Qonayev,Almaty Region[note 12],Kazakhstan,"Qonayev, Almaty Region[note 12], Kazakhstan",https://en.wikipedia.org/wiki/File:Almaty_Region_in_Kazakhstan.png
Qostanay,,,Qostanay,
Quanzhou,Fujian,China,"Quanzhou, Fujian, China",https://en.wikipedia.org/wiki/File:Fujian_in_China_(%2Ball_claims_hatched).svg
Quebec,Canada,,"Quebec, Canada",https://en.wikipedia.org/wiki/File:Quebec_in_Canada_2.svg
Quebec City,Quebec,Canada,"Quebec City, Quebec, Canada",https://en.wikipedia.org/wiki/File:Quebec_in_Canada_2.svg
Queensland,Australia,,"Queensland, Australia",https://en.wikipedia.org/wiki/File:Queensland_in_Australia.svg
Quelimane,Zambezia,Mozambique,"Quelimane, Zambezia, Mozambique",https://en.wikipedia.org/wiki/File:Zambezia_in_Mozambique.svg
Quetta,Balochistan,Pakistan,"Quetta, Balochistan, Pakistan",https://en.wikipedia.org/wiki/File:Balochistan_in_Pakistan_(claims_hatched).svg
Qyzylorda,,,Qyzylorda,
Raipur,Chhattisgarh,India,"Raipur, Chhattisgarh, India",https://en.wikipedia.org/wiki/File:Chhattisgarh_in_India.svg
Rajasthan,India,,"Rajasthan, India",https://en.wikipedia.org/wiki/File:Rajasthan_in_India.svg
Raleigh,North Carolina,United States,"Raleigh, North Carolina, United States",https://en.wikipedia.org/wiki/File:North_Carolina_in_United_States.svg
Ramadi,Al Anbar,Iraq,"Ramadi, Al Anbar, Iraq",https://en.wikipedia.org/wiki/File:Al-Anbar_in_Iraq.svg
Rarotonga,,,Rarotonga,
Rawson,Chubut,Argentina,"Rawson, Chubut, Argentina",https://en.wikipedia.org/wiki/File:Chubut_in_Argentina_(%2BFalkland_hatched).svg
Razavi Khorasan,Iran,,"Razavi Khorasan, Iran",https://en.wikipedia.org/wiki/File:IranRazaviKhorasan-SVG.svg
Recife,Pernambuco,Brazil,"Recife, Pernambuco, Brazil",https://en.wikipedia.org/wiki/File:Pernambuco_in_Brazil.svg
Red Sea Governorate,Egypt,,"Red Sea Governorate, Egypt",https://en.wikipedia.org/wiki/File:Red_Sea_in_Egypt_(de-facto_only_hatched).svg
Red Sea State,Sudan,,"Red Sea State, Sudan",https://en.wikipedia.org/wiki/File:Red_Sea_in_Sudan_(%2Bclaims_hatched)_(Kafia_Kingi_disputed).svg
Regina,Saskatchewan,Canada,"Regina, Saskatchewan, Canada",https://en.wikipedia.org/wiki/File:Saskatchewan_in_Canada.svg
Resistencia,Chaco,Argentina,"Resistencia, Chaco, Argentina",https://en.wikipedia.org/wiki/File:Chaco_in_Argentina.svg
Reunion,,,Reunion,
Reykjavik,,,Reykjavik,
Reynosa,Tamaulipas,Mexico,"Reynosa, Tamaulipas, Mexico",https://en.wikipedia.org/wiki/File:Tamaulipas_in_Mexico_(location_map_scheme).svg
Riau,Indonesia,,"Riau, Indonesia",https://en.wikipedia.org/wiki/File:Riau_in_Indonesia.svg
Richmond,Virginia,United States,"Richmond, Virginia, United States",https://en.wikipedia.org/wiki/File:Virginia_in_United_States.svg
Riga,,,Riga,
Rio Branco,Acre,Brazil,"Rio Branco, Acre, Brazil",https://en.wikipedia.org/wiki/File:Acre_in_Brazil.svg
Rio Gallegos,Santa Cruz,Argentina,"Rio Gallegos, Santa Cruz, Argentina",https://en.wikipedia.org/wiki/File:Santa_Cruz_in_Argentina_(%2BFalkland_hatched).svg
Rio Grande do Sul,Brazil,,"Rio Grande do Sul, Brazil",https://en.wikipedia.org/wiki/File:Rio_Grande_do_Sul_in_Brazil.svg
Rio Negro,Argentina,,"Rio Negro, Argentina",https://en.wikipedia.org/wiki/File:Rio_Negro_in_Argentina.svg
Rio Branco,,,Rio Branco,
Rio Gallegos,Argentina,,"Rio Gallegos, Argentina",
River Nile,Sudan,,"River Nile, Sudan",https://en.wikipedia.org/wiki/File:River_Nile_in_Sudan_(Kafia_Kingi_disputed).svg
Riyadh,Riyadh Province,Saudi Arabia,"Riyadh, Riyadh Province, Saudi Arabia",https://en.wikipedia.org/wiki/File:Ar_Riyad_in_Saudi_Arabia.svg
Riyadh,Saudi Arabia,,"Riyadh, Saudi Arabia",https://en.wikipedia.org/wiki/File:Ar_Riyad_in_Saudi_Arabia.svg
Rome,,,Rome,
Rondonia,Brazil,,"Rondonia, Brazil",https://en.wikipedia.org/wiki/File:Rondonia_in_Brazil.svg
Roraima,Brazil,,"Roraima, Brazil",https://en.wikipedia.org/wiki/File:Roraima_in_Brazil.svg
Rosario,Santa Fe Province,Argentina,"Rosario, Santa Fe Province, Argentina",https://en.wikipedia.org/wiki/File:Santa_Fe_in_Argentina.svg
Rostov-on-Don,Rostov,Russia,"Rostov-on-Don, Rostov, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Rostov_Oblast.svg
Rovaniemi,Lapland,Finland,"Rovaniemi, Lapland, Finland",https://en.wikipedia.org/wiki/File:Lappi_sijainti_Suomi.svg
Russia,,,Russia,
Rustenburg,North West,South Africa,"Rustenburg, North West, South Africa",https://en.wikipedia.org/wiki/File:North_West_in_South_Africa.svg
Sacramento,California,United States,"Sacramento, California, United States",https://en.wikipedia.org/wiki/File:California_in_United_States.svg
Sagaing,Myanmar,,"Sagaing, Myanmar",https://en.wikipedia.org/wiki/File:Sagaing_Region_in_Myanmar.svg
Sainshand,Dornogovi,Mongolia,"Sainshand, Dornogovi, Mongolia",https://en.wikipedia.org/wiki/File:Dornogovi_in_Mongolia.svg
Saint Paul,Minnesota,United States,"Saint Paul, Minnesota, United States",https://en.wikipedia.org/wiki/File:Minnesota_in_United_States.svg
Saipan,,,Saipan,
Sakakah,Al-Jawf,Saudi Arabia,"Sakakah, Al-Jawf, Saudi Arabia",https://en.wikipedia.org/wiki/File:Al_Jawf_in_Saudi_Arabia.svg
Sakha,Russia,,"Sakha, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Sakha_(Yakutia)_(Crimea_disputed).svg
Sakhalin,Russia,,"Sakhalin, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Sakhalin_Oblast.svg
Salalah,Dhofar,Oman,"Salalah, Dhofar, Oman",https://en.wikipedia.org/wiki/File:Dhofar_in_Oman_2016.svg
Salekhard,Yamalia,Russia,"Salekhard, Yamalia, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Yamalo-Nenets_Autonomous_Okrug.svg
Salem,Oregon,United States,"Salem, Oregon, United States",https://en.wikipedia.org/wiki/File:Oregon_in_United_States.svg
Salor,South Papua,Indonesia,"Salor, South Papua, Indonesia",https://en.wikipedia.org/wiki/File:Papua_Selatan_in_Indonesia.svg
Salt Lake City,Utah,United States,"Salt Lake City, Utah, United States",https://en.wikipedia.org/wiki/File:Utah_in_United_States.svg
Salta,Argentina,,"Salta, Argentina",
Salta,Salta Province,Argentina,"Salta, Salta Province, Argentina",https://en.wikipedia.org/wiki/File:Salta_in_Argentina_(%2BFalkland_hatched).svg
Salta Province,Argentina,,"Salta Province, Argentina",https://en.wikipedia.org/wiki/File:Salta_in_Argentina_(%2BFalkland_hatched).svg
Saltillo,Coahuila,Mexico,"Saltillo, Coahuila, Mexico",https://en.wikipedia.org/wiki/File:Coahuila_in_Mexico_(location_map_scheme).svg
Salvador,Bahia,Brazil,"Salvador, Bahia, Brazil",https://en.wikipedia.org/wiki/File:Bahia_in_Brazil.svg
Samara,,,Samara,
Samarinda,East Kalimantan,Indonesia,"Samarinda, East Kalimantan, Indonesia",https://en.wikipedia.org/wiki/File:East_Kalimantan_in_Indonesia.svg
Samarkand,,,Samarkand,
San Fernando delValle de Catamarca,Catamarca,Argentina,"San Fernando delValle de Catamarca, Catamarca, Argentina",https://en.wikipedia.org/wiki/File:Catamarca_in_Argentina.svg
San Juan,Argentina,,"San Juan, Argentina",https://en.wikipedia.org/wiki/File:San_Juan_in_Argentina_(%2BFalkland_hatched).svg
San Luis,Argentina,,"San Luis, Argentina",
San Marino,,,San Marino,
Sankuru,Congo-Kinshasa,,"Sankuru, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Sankuru.svg
Santa Catarina,Brazil,,"Santa Catarina, Brazil",https://en.wikipedia.org/wiki/File:Santa_Catarina_in_Brazil.svg
Santa Cruz,Argentina,,"Santa Cruz, Argentina",https://en.wikipedia.org/wiki/File:Santa_Cruz_in_Argentina_(%2BFalkland_hatched).svg
Santa Cruz,Bolivia,,"Santa Cruz, Bolivia",https://en.wikipedia.org/wiki/File:Santa_Cruz_in_Bolivia.svg
Santa Cruz de la Sierra,Santa Cruz,Bolivia,"Santa Cruz de la Sierra, Santa Cruz, Bolivia",https://en.wikipedia.org/wiki/File:Santa_Cruz_in_Bolivia.svg
Santa Fe,New Mexico,United States,"Santa Fe, New Mexico, United States",https://en.wikipedia.org/wiki/File:New_Mexico_in_United_States.svg
Santa Fe,Santa Fe Province,Argentina,"Santa Fe, Santa Fe Province, Argentina",https://en.wikipedia.org/wiki/File:Santa_Fe_in_Argentina.svg
Santa Fe Province,Argentina,,"Santa Fe Province, Argentina",https://en.wikipedia.org/wiki/File:Santa_Fe_in_Argentina.svg
Santa Rosa,La Pampa,Argentina,"Santa Rosa, La Pampa, Argentina",https://en.wikipedia.org/wiki/File:La_Pampa_in_Argentina_(%2BFalkland_hatched).svg
Santarem,,,Santarem,
Santiago,,,Santiago,
Santiago del Estero,Argentina,,"Santiago del Estero, Argentina",https://en.wikipedia.org/wiki/File:Santiago_del_Estero_in_Argentina_(%2BFalkland_hatched).svg
Santo Domingo,,,Santo Domingo,
Sao Luis,Maranhao,Brazil,"Sao Luis, Maranhao, Brazil",https://en.wikipedia.org/wiki/File:Maranhao_in_Brazil.svg
Sao Paulo,Brazil,,"Sao Paulo, Brazil",https://en.wikipedia.org/wiki/File:Sao_Paulo_in_Brazil.svg
Sao Tome,,,Sao Tome,
Sapporo,Hokkaido,Japan,"Sapporo, Hokkaido, Japan",https://en.wikipedia.org/wiki/File:Hokkaido_in_Japan_(claimed_hatched).svg
Sarajevo,,,Sarajevo,
Saratov,Russia,,"Saratov, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Saratov_Oblast.svg
Sarawak,Malaysia,,"Sarawak, Malaysia",https://en.wikipedia.org/wiki/File:Sarawak_in_Malaysia.svg
Saskatchewan,Canada,,"Saskatchewan, Canada",https://en.wikipedia.org/wiki/File:Saskatchewan_in_Canada.svg
Saskatoon,Saskatchewan,Canada,"Saskatoon, Saskatchewan, Canada",https://en.wikipedia.org/wiki/File:Saskatchewan_in_Canada.svg
Saudi Arabia,,,Saudi Arabia,
Seattle,Washington,United States,"Seattle, Washington, United States",https://en.wikipedia.org/wiki/File:Washington_in_United_States.svg
Semey,Abai,Kazakhstan,"Semey, Abai, Kazakhstan",https://en.wikipedia.org/wiki/File:Abai_in_Kazakhstan.svg
Semnan,Iran,,"Semnan, Iran",https://en.wikipedia.org/wiki/File:IranSemnan-SVG.svg
Seoul,,,Seoul,
Serowe,Central,Botswana,"Serowe, Central, Botswana",https://en.wikipedia.org/wiki/File:Botswana_-_Central.svg
Seville,Andalusia,Spain,"Seville, Andalusia, Spain",https://en.wikipedia.org/wiki/File:Andalucia_in_Spain.svg
Shaanxi,China,,"Shaanxi, China",https://en.wikipedia.org/wiki/File:Shaanxi_in_China_(%2Ball_claims_hatched).svg
Shan,Myanmar,,"Shan, Myanmar",https://en.wikipedia.org/wiki/File:Shan_State_in_Myanmar.svg
Shandong,China,,"Shandong, China",https://en.wikipedia.org/wiki/File:Shandong_in_China_(%2Ball_claims_hatched).svg
Shanghai,,,Shanghai,
Shanxi,China,,"Shanxi, China",https://en.wikipedia.org/wiki/File:Shanxi_in_China_(%2Ball_claims_hatched).svg
Shenyang,Liaoning,China,"Shenyang, Liaoning, China",https://en.wikipedia.org/wiki/File:Liaoning_in_China_(%2Ball_claims_hatched).svg
Shijiazhuang,Hebei,China,"Shijiazhuang, Hebei, China",https://en.wikipedia.org/wiki/File:Hebei_in_China_(%2Ball_claims_hatched).svg
Shiraz,Fars,Iran,"Shiraz, Fars, Iran",https://en.wikipedia.org/wiki/File:Fars_in_Iran.svg
Sichuan,China,,"Sichuan, China",https://en.wikipedia.org/wiki/File:Sichuan_in_China_(%2Ball_claims_hatched).svg
Simferopol,,,Simferopol,
Sindh,Pakistan,,"Sindh, Pakistan",https://en.wikipedia.org/wiki/File:Sindh_in_Pakistan_(claims_hatched).svg
Singapore,,,Singapore,
Sioux Falls,South Dakota,United States,"Sioux Falls, South Dakota, United States",https://en.wikipedia.org/wiki/File:South_Dakota_in_United_States.svg
Sipaliwini,Suriname,,"Sipaliwini, Suriname",https://en.wikipedia.org/wiki/File:Sipaliwini_in_Suriname_(%2Bclaims)_(hatched).svg
Sistan and Baluchestan,Iran,,"Sistan and Baluchestan, Iran",https://en.wikipedia.org/wiki/File:IranSistanBaluchistan-SVG.svg
Skopje,,,Skopje,
Sofia,,,Sofia,
Solwezi,North-Western,Zambia,"Solwezi, North-Western, Zambia",https://en.wikipedia.org/wiki/File:North-Western_in_Zambia.svg
Somali,Ethiopia,,"Somali, Ethiopia",https://en.wikipedia.org/wiki/File:Somali_Region_Map.svg
Somalia,,,Somalia,https://en.wikipedia.org/wiki/File:Somaliland_in_its_region_(less_biased).svg
Sonora,Mexico,,"Sonora, Mexico",https://en.wikipedia.org/wiki/File:Sonora_in_Mexico_(location_map_scheme).svg
South Africa,,,South Africa,
South Australia,Australia,,"South Australia, Australia",https://en.wikipedia.org/wiki/File:South_Australia_in_Australia.svg
South Carolina,United States,,"South Carolina, United States",https://en.wikipedia.org/wiki/File:South_Carolina_in_United_States.svg
South Dakota,United States,,"South Dakota, United States",https://en.wikipedia.org/wiki/File:South_Dakota_in_United_States.svg
South Darfur,Sudan,,"South Darfur, Sudan",https://en.wikipedia.org/wiki/File:South_Darfur_in_Sudan_(%2Bclaims_hatched)_(Kafia_Kingi_disputed).svg
South Khorasan,Iran,,"South Khorasan, Iran",https://en.wikipedia.org/wiki/File:IranSouthKhorasan-SVG.svg
South Papua,Indonesia,,"South Papua, Indonesia",https://en.wikipedia.org/wiki/File:Papua_Selatan_in_Indonesia.svg
South Sudan,,,South Sudan,
South Sumatra,Indonesia,,"South Sumatra, Indonesia",https://en.wikipedia.org/wiki/File:South_Sumatra_in_Indonesia.svg
South West,Somalia,,"South West, Somalia",https://en.wikipedia.org/wiki/File:Map_of_the_South_West_State_within_Somalia.png
South Georgia,,,South Georgia,
Spain,,,Spain,
Springfield,Illinois,United States,"Springfield, Illinois, United States",https://en.wikipedia.org/wiki/File:Illinois_in_United_States.svg
St. Johns,Newfoundlandand Labrador,Canada,"St. Johns, Newfoundlandand Labrador, Canada",https://en.wikipedia.org/wiki/File:Newfoundland_and_Labrador_in_Canada_2.svg
St Barthelemy,,,St Barthelemy,
St Helena,,,St Helena,
St Johns,,,St Johns,
St Kitts,,,St Kitts,
St Lucia,,,St Lucia,
St Thomas,,,St Thomas,
St Vincent,,,St Vincent,
Stanley,,,Stanley,
Stockholm,,,Stockholm,
Sudan,,,Sudan,
Sukhbaatar,Mongolia,,"Sukhbaatar, Mongolia",https://en.wikipedia.org/wiki/File:S%C3%BCkhbaatar_in_Mongolia.svg
Surgut,Khantia-Mansia,Russia,"Surgut, Khantia-Mansia, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Khanty-Mansi_Autonomous_Okrug.svg
Suriname,,,Suriname,
Suzhou,Jiangsu,China,"Suzhou, Jiangsu, China",https://en.wikipedia.org/wiki/File:Jiangsu_in_China_(%2Ball_claims_hatched).svg
Sverdlovsk,Russia,,"Sverdlovsk, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Sverdlovsk_Oblast.svg
Sweden,,,Sweden,
Sydney,New South Wales,Australia,"Sydney, New South Wales, Australia",https://en.wikipedia.org/wiki/File:New_South_Wales_in_Australia.svg
Syktyvkar,Komi,Russia,"Syktyvkar, Komi, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Komi_(Crimea_disputed).svg
Tabuk,Saudi Arabia,,"Tabuk, Saudi Arabia",https://en.wikipedia.org/wiki/File:Tabuk_in_Saudi_Arabia.svg
Tagant,Mauritania,,"Tagant, Mauritania",https://en.wikipedia.org/wiki/File:Tagant_in_Mauritania.svg
Tahiti,,,Tahiti,
Tahoua,Niger,,"Tahoua, Niger",https://en.wikipedia.org/wiki/File:Tahoua_in_Niger.svg
Taipei,,,Taipei,
Taiyuan,Shanxi,China,"Taiyuan, Shanxi, China",https://en.wikipedia.org/wiki/File:Shanxi_in_China_(%2Ball_claims_hatched).svg
Taldykorgan,Jetisu,Kazakhstan,"Taldykorgan, Jetisu, Kazakhstan",https://en.wikipedia.org/wiki/File:Jetisu_in_Kazakhstan.svg
Tallahassee,Florida,United States,"Tallahassee, Florida, United States",https://en.wikipedia.org/wiki/File:Florida_in_United_States.svg
Tallinn,,,Tallinn,
Tamanrasset,Tamanrasset Province,Algeria,"Tamanrasset, Tamanrasset Province, Algeria",https://en.wikipedia.org/wiki/File:Tamanrasset_in_Algeria_2019.svg
Tamanrasset Province,Algeria,,"Tamanrasset Province, Algeria",https://en.wikipedia.org/wiki/File:Tamanrasset_in_Algeria_2019.svg
Tamaulipas,Mexico,,"Tamaulipas, Mexico",https://en.wikipedia.org/wiki/File:Tamaulipas_in_Mexico_(location_map_scheme).svg
Tamil Nadu,India,,"Tamil Nadu, India",https://en.wikipedia.org/wiki/File:Tamil_Nadu_in_India.svg
Tanganyika,Congo-Kinshasa,,"Tanganyika, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Tanganyika.svg
Taoudenit,Mali,,"Taoudenit, Mali",https://en.wikipedia.org/wiki/File:Taoud%C3%A9nit_in_Mali_2012.svg
Tarawa,,,Tarawa,
Taraz,Jambyl,Kazakhstan,"Taraz, Jambyl, Kazakhstan",https://en.wikipedia.org/wiki/File:Jambyl_in_Kazakhstan.svg
Tashkent,,,Tashkent,
Tasmania,Australia,,"Tasmania, Australia",https://en.wikipedia.org/wiki/File:Tasmania_in_Australia.svg
Taunggyi,Shan,Myanmar,"Taunggyi, Shan, Myanmar",https://en.wikipedia.org/wiki/File:Shan_State_in_Myanmar.svg
Tbilisi,,,Tbilisi,
Tegucigalpa,,,Tegucigalpa,
Tehran,,,Tehran,
Telangana,India,,"Telangana, India",https://en.wikipedia.org/wiki/File:Telangana_in_India.svg
Tennessee,United States,,"Tennessee, United States",https://en.wikipedia.org/wiki/File:Tennessee_in_United_States.svg
Teresina,Piaui,Brazil,"Teresina, Piaui, Brazil",https://en.wikipedia.org/wiki/File:Piaui_in_Brazil.svg
Tete,Tete Province,Mozambique,"Tete, Tete Province, Mozambique",https://en.wikipedia.org/wiki/File:Tete_in_Mozambique.svg
Tete Province,Mozambique,,"Tete Province, Mozambique",https://en.wikipedia.org/wiki/File:Tete_in_Mozambique.svg
Texas,United States,,"Texas, United States",https://en.wikipedia.org/wiki/File:Texas_in_United_States.svg
Thimphu,,,Thimphu,
Tibesti,Chad,,"Tibesti, Chad",https://en.wikipedia.org/wiki/File:Tibetsi_map.svg
Tibet,China,,"Tibet, China",https://en.wikipedia.org/wiki/File:Tibet_in_China_(claimed_hatched)_(%2Ball_claims_hatched).svg
Tidjikja,Tagant,Mauritania,"Tidjikja, Tagant, Mauritania",https://en.wikipedia.org/wiki/File:Tagant_in_Mauritania.svg
Tijuana,,,Tijuana,
Tillaberi,Niger,,"Tillaberi, Niger",https://en.wikipedia.org/wiki/File:Tillaberi_in_Niger.svg
Tindouf,Algeria,,"Tindouf, Algeria",https://en.wikipedia.org/wiki/File:Tindouf_in_Algeria.svg
Tirane,,,Tirane,
Tiris Zemmour,Mauritania,,"Tiris Zemmour, Mauritania",https://en.wikipedia.org/wiki/File:Tiris_Zemmour_in_Mauritania.svg
Tobruk,Butnan,Libya,"Tobruk, Butnan, Libya",https://en.wikipedia.org/wiki/File:Butnan_in_Libya.svg
Tocantins,Brazil,,"Tocantins, Brazil",https://en.wikipedia.org/wiki/File:Tocantins_in_Brazil.svg
Tokyo,,,Tokyo,
Tomsk,Russia,,"Tomsk, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Tomsk_Oblast.svg
Tongatapu,,,Tongatapu,
Topeka,Kansas,United States,"Topeka, Kansas, United States",https://en.wikipedia.org/wiki/File:Kansas_in_United_States.svg
Toronto,Ontario,Canada,"Toronto, Ontario, Canada",https://en.wikipedia.org/wiki/File:Ontario_in_Canada_2.svg
Tortola,,,Tortola,
Trinidad,Beni,Bolivia,"Trinidad, Beni, Bolivia",https://en.wikipedia.org/wiki/File:Beni_in_Bolivia.svg
Tripoli,,,Tripoli,
Tsabong,Kgalagadi,Botswana,"Tsabong, Kgalagadi, Botswana",https://en.wikipedia.org/wiki/File:Botswana_-_Kgalagadi.svg
Tshikapa,Kasai,Congo-Kinshasa,"Tshikapa, Kasai, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Kasa%C3%AF.svg
Tshopo,Congo-Kinshasa,,"Tshopo, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Tshopo.svg
Tshuapa,Congo-Kinshasa,,"Tshuapa, Congo-Kinshasa",https://en.wikipedia.org/wiki/File:Democratic_Republic_of_the_Congo_(26_provinces)_-_Tshuapa.svg
Tucuman,Argentina,,"Tucuman, Argentina",
Tunis,,,Tunis,
Turkana,Kenya,,"Turkana, Kenya",https://en.wikipedia.org/wiki/File:Turkana_County_in_Kenya.svg
Turkistan,Turkistan Region,Kazakhstan,"Turkistan, Turkistan Region, Kazakhstan",https://en.wikipedia.org/wiki/File:Turkistan_in_Kazakhstan.svg
Turkistan Region,Kazakhstan,,"Turkistan Region, Kazakhstan",https://en.wikipedia.org/wiki/File:Turkistan_in_Kazakhstan.svg
Turkmenabat,Lebap,Turkmenistan,"Turkmenabat, Lebap, Turkmenistan",https://en.wikipedia.org/wiki/File:Lebap_Province_in_Turkmenistan.svg
Turkmenistan,,,Turkmenistan,
Tuva,Russia,,"Tuva, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Tuva.svg
Tver,Russia,,"Tver, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Tver_Oblast.svg
Tyumen,Russia,,"Tyumen, Russia",https://en.wikipedia.org/wiki/File:Tyumen_in_Russia.svg
Ucayali,Peru,,"Ucayali, Peru",https://en.wikipedia.org/wiki/File:Peru_-_Ucayali_Department_(locator_map).svg
Ufa,Bashkortostan,Russia,"Ufa, Bashkortostan, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Bashkortostan_(Crimea_disputed).svg
Ulaanbaatar,,,Ulaanbaatar,
Ulan-Ude,Buryatia,Russia,"Ulan-Ude, Buryatia, Russia",https://en.wikipedia.org/wiki/File:Map_of_Russia_-_Buryatia_(Crimea_disputed).svg
Uliastai,Zavkhan,Mongolia,"Uliastai, Zavkhan, Mongolia",https://en.wikipedia.org/wiki/File:Zavkhan_in_Mongolia.svg
Ulyanovsk,,,Ulyanovsk,
Ulytau,Kazakhstan,,"Ulytau, Kazakhstan",https://en.wikipedia.org/wiki/File:Ulytau_in_Kazakhstan.svg
United Kingdom,,,United Kingdom,
United States,,,United States,
Upington,Northern Cape,South Africa,"Upington, Northern Cape, South Africa",https://en.wikipedia.org/wiki/File:Northern_Cape_in_South_Africa.svg
Urumqi,Xinjiang,China,"Urumqi, Xinjiang, China",https://en.wikipedia.org/wiki/File:Xinjiang_in_China_(de-facto)_(%2Ball_claims_hatched).svg
Ushuaia,Argentina,,"Ushuaia, Argentina",
Utah,United States,,"Utah, United States",https://en.wikipedia.org/wiki/File:Utah_in_United_States.svg
Uttar Pradesh,India,,"Uttar Pradesh, India",https://en.wikipedia.org/wiki/File:Uttar_Pradesh_in_India_(disputed_hatched).svg
Uzbekistan,,,Uzbekistan,
Vaduz,,,Vaduz,
Valladolid,Castile and Leon,Spain,"Valladolid, Castile and Leon, Spain",https://en.wikipedia.org/wiki/File:Castilla_y_Leon_in_Spain_(including_Canarias).svg
Vancouver,British Columbia,Canada,"Vancouver, British Columbia, Canada",https://en.wikipedia.org/wiki/File:British_Columbia_in_Canada_2.svg
Vatican,,,Vatican,
Venezuela,,,Venezuela,
Vichada,Colombia,,"Vichada, Colombia",https://en.wikipedia.org/wiki/File:Vichada_in_Colombia.svg
Victoria,Australia,,"Victoria, Australia",https://en.wikipedia.org/wiki/File:Victoria_in_Australia.svg
Victoria,British Columbia,Canada,"Victoria, British Columbia, Canada",https://en.wikipedia.org/wiki/File:British_Columbia_in_Canada_2.svg
Victoria de Durango,Durango,Mexico,"Victoria de Durango, Durango, Mexico",https://en.wikipedia.org/wiki/File:Durango_in_Mexico_(location_map_scheme).svg
Viedma,Rio Negro,Argentina,"Viedma, Rio Negro, Argentina",https://en.wikipedia.org/wiki/File:Rio_Negro_in_Argentina.svg
Vienna,,,Vienna,
Villavicencio,Meta,Colombia,"Villavicencio, Meta, Colombia",https://en.wikipedia.org/wiki/File:Meta_in_Colombia.svg
Vilnius,,,Vilnius,
Vincennes,,,Vincennes,
Virginia,United States,,"Virginia, United States",https://en.wikipedia.org/wiki/File:Virginia_in_United_States.svg
Virginia Beach,Virginia,United States,"Virginia Beach, Virginia, United States",https://en.wikipedia.org/wiki/File:Virginia_in_United_States.svg
